Word,Difficulty,POS,Definition,Sentence
pitch,Easy,Noun,the level or tune of a sound,She was singing in a different pitch.
taken,Easy,Verb,to have gotten a hold of; grasped,My dad has taken my game away from me.
cannot,Easy,Verb,to not be able to do something,I cannot eat dessert before dinner.
stayed,Easy,Verb,to have been somewhere for a short time,We stayed at a hotel when we were on holiday.
denim,Easy,Noun,a type of material used for jeans,I like to wear denim jeans.
doctor,Easy,Noun,a person that treats sick people,I went to the doctor when I was sick.
gloves,Easy,Noun,hand covers to protect hands,I put on gloves before I wash the dishes.
ocean,Easy,Noun,a large area of water covering Earth,The ship sailed over the ocean.
cadet,Easy,Noun,a person training in the armed forces or police,The cadet was in training to be a police officer.
oxen,Easy,Noun,"plural of ox, a large domestic animal kept for milk",A herd of oxen were grazing on the grass.
quail,Easy,Noun,a small brown bird,A quail was in the nest.
arch,Easy,Noun,a curved top that is held by two supports,You enter the hall through a huge arch.
cheese,Easy,Noun,a food made from milk curd,I like to eat cheese and crackers.
teach,Easy,Verb,to help someone learn how to do something,He will teach me how to play the game.
liver,Easy,Noun,an organ in the body that cleans and filters blood,The liver is an organ that filters blood.
river,Easy,Noun,"a natural, large stream of water",The canoe drifted up the river.
story,Easy,Noun,a fictional tale shorter than a novel,My teacher reads us a story every day.
thank,Easy,Verb,to show you are pleased by something or someone,Please thank her for all her help.
mammal,Easy,Noun,an animal that feeds its young with milk from the mother,A mammal feeds its young with milk.
mammoth,Easy,Noun,an extinct elephant covered in long hair and curved tusks,The mammoth lived long ago and had long hair and tusks.
events,Easy,Noun,things that are planned; social occasions or activities,There will be three events to raise money.
facts,Easy,Noun,things that are proven or known to be true,The facts have been proven and are true.
people,Easy,Noun,more than one person,Ten people came to the party.
once,Easy,Adverb,one time,I have only been to hospital once.
coming,Easy,Adjective,about to happen or just beginning,We will have a lot of fun in the coming year.
inside,Easy,Preposition,within a container or room,I want to see what is inside the box.
parents,Easy,Noun,"plural of parent, a mother or father",My parents will not let me stay up late.
guard,Easy,Verb,to watch or protect,The dog was set to guard the gate.
lamb,Easy,Noun,a young sheep,A baby sheep is called a lamb.
wrap,Easy,Verb,to cover by winding or folding,We will wrap the present with green paper.
coarse,Easy,Adjective,having a harsh or rough quality,having a harsh or rough quality
